За чем остаются нерешенными
"За неполучением от г-на исправляющего должность Советника Губернского правления Гоголева исторического обозрения о движении хлебного запасного капитала по Туруханскому краю, требуемого Главным управлением Восточной Сибири, и за недополнением Енисейским Окружным начальником возвращенного к нему при указе 16 сентября 1866 г. за № 1915 дела об отошедших инородческих землях под частные золотые промысла, о скорейшем дополнении которого подтверждено 20 октября, 8 декабря 1866 г. и 10 января 1867 г. за № 2157, 2536 и 32. (Относится к делу 65)"
"За неполучением от Енисейского Окружного начальника сведений, затребованных 8 февраля 1866 г. за № 217 и несколько раз подтвержденных, на которые хотя Окружный начальник донес, что сведения эти затребованы им от Туруханского отдельного управления, но их еще не получено, по чему о скорейшем представлении подтверждено Отдельному управлению от Губернского правления 30 декабря 1866 года за № 266. (Относится к делу 66)"
"О взыскании этой недоимки, как донес Енисейский Окружный начальник 17 октября 1866 года за № 970, приняты всевозможные меры. О скорейшем взыскании остающейся недоимки предписано Окружному начальнику 12 декабря за № 2265. (Относится к делу 67)"
"За неполучением от Томской Общей городовой управы сведений, затребованных Енисейским окружным судом 15 июля 1866 г. за № 1336, подтвержденных Губернским правлением 17 августа, 30 сентября и 12 декабря того года за № 1734, 215 и 2263. (Относится к делу 68)"
