В каких местах;Осталось неисполненных к 1 января 1866 г.;К тому по 1 января 1867 г. поступило (Требующих производства);К тому по 1 января 1867 г. поступило (Подлежащих к приобщению к делу или к сведению);ИТОГО;Из сего числа исполнено по 1 января 1867 г.;За тем к 1 января 1867 г. осталось неисполненных;Исшедших нумеров с 1 января 1866 по 1 января 1867 г.
В Общем губернском управлении;10;19374;3204;19304;19367;17;20368
– Губернском правлении;-;19137;3695;19137;19137;-;39653
– Казенной палате;1828;12221;4523;14049;13036;1013;19187
– Губернском суде;100;2884;1679;2984;2926;58;5522
– Приказе общественного призрения;4;2050;414;2054;2051;3;2869
– Врачебной управе;12;1455;351;1457;1456;11;1801
У Губернского прокурора;5;2985;815;2990;2974;16;3730
У ОКРУЖНЫХ СТРЯПЧИХ:;;;;;;;
Красноярского;-;2421;1312;2421;2421;-;3682
Енисейского;3;2234;680;2237;2231;6;2825
Канского;-;1969;413;1969;1969;-;2363
Минусинского;17;1498;148;1515;1507;8;1234
Ачинского;2;1575;503;1577;1569;8;2117
Губернского и окружного землемеров;12;675;614;687;673;14;1586
