В каких местах;Оставалось дел нерешенных к 1 января 1866 г.;Вновь поступило в течение года;Решено в течение года;Осталось к 1 января 1867 г. нерешенных (За сим местом);Осталось к 1 января 1867 г. нерешенных (За другими местами);Осталось к 1 января 1867 г. нерешенных (Итого)
В Общем губернском управлении;1037;4391;4436;3;989;992
– Губернском правлении;312;3060;3073;-;299;299
– Казенной палате;763;1276;1429;55;555;610
– Губернском суде;129;687;684;2;130;132
– Приказе общественного призрения;199;68;56;-;211;211
– Врачебной управе;17;103;105;-;15;15
У Губернского прокурора;8;98;103;-;3;3
У ОКРУЖНЫХ СТРЯПЧИХ:;;;;;;
Красноярского;2;11;12;-;1;1
Енисейского;-;34;31;-;3;3
Канского;2;26;28;-;-;-
Минусинского;13;48;52;-;9;9
Ачинского;16;52;55;-;13;13
Губернского и окружных землемеров;170;92;106;155;1;156
В ОБЩИХ ОКРУЖНЫХ УПРАВЛЕНИЯХ:;;;;;;
Енисейском;217;101;100;-;218;218
Минусинском;40;262;252;3;47;50
В ГРАДСКИХ ПОЛИЦИЯХ И У ГОРОДНИЧИХ:;;;;;;
Красноярской;151;468;593;19;7;26
Енисейской;82;403;470;4;11;15
Канской;5;104;98;-;11;11
Минусинской;33;68;67;2;32;34
Ачинской;38;100;63;32;43;75
В ГРАДСКИХ ДУМАХ:;;;;;;
Красноярской;134;57;46;96;49;145
Енисейской;43;93;704;-;3;32
В СИРОТСКИХ СУДАХ:;;;;;;
Красноярском;69;13;5;-;77;77
Енисейском;49;7;7;-;49;49
