В каких местах;Осталось неисполненных к 1 января 1866 г.;К тому по 1 января 1867 г. поступило (Требующих производства);К тому по 1 января 1867 г. поступило (Подлежащих к приобщению к делу или к сведению);ИТОГО;Из сего числа исполнено по 1 января 1867 г.;За тем к 1 января 1867 г. осталось неисполненных;Исшедших нумеров с 1 января 1866 по 1 января 1867 г.
В ГОРОДОВЫХ СУДАХ:;;;;;;;
Красноярском;3;1164;700;1167;1165;2;2365
Енисейском;32;1449;573;1481;1453;28;2430
В ЗЕМСКИХ СУДАХ:;;;;;;;
Красноярском;62;10840;2870;10866;10787;79;17208
Енисейском;41;7856;3133;7897;7863;34;12434
Канском;11;9243;2435;9254;9236;18;16025
Минусинском;189;6623;2079;6812;6638;174;10840
Ачинском;26;12240;947;12266;12254;12;13086
В ОКРУЖНЫХ КАЗНАЧЕЙСТВАХ:;;;;;;;
Красноярском;41;12105;912;12146;12125;21;3734
Енисейском;41;3135;15;3176;3158;18;3258
Канском;11;2420;87;2431;2416;15;2048
Минусинском;8;3212;1508;3220;3217;3;2253
Ачинском;24;1427;812;1451;1439;12;1274
В Туруханском отдельном управлении;5;988;515;993;987;6;1373
А всего;4475;202131;47326;206606;204028;2578;269920
