Категория,Ачинской (Мужского),Ачинской (Женского),Канской (Мужского),Канской (Женского),Минусинской (Мужского),Минусинской (Женского),Итого (Мужского),Итого (Женского)
Г. Неслужащих инвалидов: Чиновников,-,-,1,1,-,-,1,1
Г. Неслужащих инвалидов: Их детей,-,-,-,6,-,-,-,6
Г. Неслужащих инвалидов: Нижних чинов,24,18,35,28,18,2,105,63
"Г. Неслужащих инвалидов: Их детей, при родителях",9,17,16,22,-,-,25,42
Итого по Г. Неслужащих инвалидов,33,35,52,57,18,2,131,112
Д. Часть интендантская: 1) Провиантских: Чиновников,1,1,-,-,-,-,2,1
Д. Часть интендантская: 1) Провиантских: Их детей,2,2,-,-,-,-,2,2
Д. Часть интендантская: 1) Провиантских: Нижних чинов,1,1,2,2,2,1,12,9
Д. Часть интендантская: 1) Провиантских: Их детей,-,-,2,2,-,1,5,10
Итого по 1) Провиантских,4,4,4,4,2,2,21,22
Д. Часть интендантская: 2) Комиссариатских: Чиновников,-,-,-,-,-,-,-,-
Д. Часть интендантская: 2) Комиссариатских: Их детей,-,-,-,-,-,-,-,-
Д. Часть интендантская: 2) Комиссариатских: Нижних чинов,-,-,-,-,-,-,-,-
Д. Часть интендантская: 2) Комиссариатских: Их детей,-,-,-,-,-,-,-,-
Итого по 2) Комиссариатских,4,4,4,4,2,2,21,22
Всего по Военному ведомству.,340,202,531,247,125,41,2661,955
IV. Морское ведомство: 1) Флотских: Чиновников,-,-,-,-,-,-,-,-
IV. Морское ведомство: 1) Флотских: Их детей,-,-,-,-,-,-,-,-
IV. Морское ведомство: 1) Флотских: Нижних чинов,-,-,-,-,-,-,-,-
IV. Морское ведомство: 1) Флотских: Их детей,-,-,-,-,-,-,-,-
Итого по 1) Флотских,-,-,-,-,-,-,-,-
IV. Морское ведомство: 2) Адмиралтейских: Чиновников,-,-,-,-,-,-,-,-
IV. Морское ведомство: 2) Адмиралтейских: Их детей,-,-,-,-,-,-,-,-
