Категория,Красноярск,Енисейск,Ачинск,Канск,Минусинск
Остаток от 1840 к 1841,1077.0,137.49,0.0,2016.5,132.79
Актами,0.0,0.0,0.0,0.0,0.0
Итого,7091.56,5179.77,2652.91,4086.24,1336.68
Городовые расходы,5038.95,4795.83,2651.97,1683.75,1272.68
