Статья расходов,Красноярск,Енисейск,Ачинск,Минусинск,Канск,Туруханск
I. Содержание полиции,642.64,906.21,274.4,300.97,224.84,0.0
II. Содержание гор. хозяйства и суд. управления,2106.75,2119.49,916.33,328.42,336.74,69.42
III. Содержание гор. зданий,0.0,5.71,0.0,0.0,0.0,0.0
IV. Благоустройство,0.0,0.0,0.0,0.0,0.0,0.0
V. Содержание училищ,100.0,88.57,114.28,0.0,0.0,0.0
VI. Расход по квартированию войск,0.0,287.47,20.28,36.84,46.53,0.0
VII. Расходы по временному квартированию,0.0,0.0,0.0,0.0,0.0,0.0
VIII. Расходы на тюремные помещения,0.0,0.0,0.0,0.0,14.57,0.0
IX.а Единовременные на постройку зданий,0.0,0.0,0.0,0.0,0.0,0.0
IX.б Единовременные на прочие нужды,0.0,0.0,0.0,0.0,0.0,0.0
Итого (основные),2849.39,3407.47,1325.3,664.6,622.18,69.42
Сверх того: 1. Пожарные инструменты и лошади,637.4,538.34,479.25,0.0,275.0,0.0
Сверх того: 2. Жалование машинистам,0.0,0.0,0.0,0.0,0.0,0.0
Сверх того: 3. Квартирная комиссия,69.57,0.0,0.0,0.0,0.0,0.0
