Показатель,Красноярский,Енисейский,Ачинский,Минусинский,Канский,Итого
Заштатные города,0,1,0,0,0,1
Крепости,0,0,0,0,0,0
Форпосты,0,0,0,6,0,6
Редуты,0,0,0,0,0,0
Волости,8,7,4,4,6,29
Селения,122,226,108,90,131,687
Инородные управы,1,25,2,28,0,56
Дома: Казенные (кам),0,0,0,0,0,0
Дома: Казенные (дер),0,18,164,495,832,1509
Дома: Общественные (кам),0,0,0,0,0,0
Дома: Общественные (дер),11,9,10,8,7,45
Дома: Обывательские (кам),0,0,0,0,0,0
Дома: Обывательские (дер),6718,5376,4731,4720,6778,28323
Монастыри (муж),0,1,0,0,0,1
Монастыри (жен),0,1,0,0,0,1
"Церкви (Греко-росс, кам)",15,19,10,10,11,65
"Церкви (Греко-росс, дер)",2,6,0,3,7,18
"Церкви (Катол, кам)",0,0,0,0,0,0
"Церкви (Катол, дер)",0,0,0,0,0,0
"Церкви (Лют/проч, кам)",0,0,0,0,0,0
"Церкви (Лют/проч, дер)",0,0,0,0,0,0
Часовни (кам),0,0,0,0,0,0
Часовни (дер),77,45,31,16,41,210
Мечети (кам),0,0,0,0,0,0
Мечети (дер),0,0,0,0,0,0
Кумиры (кам),0,0,0,0,0,0
Кумиры (дер),0,0,0,0,0,0
Кумиры других (кам),0,0,0,0,0,0
Кумиры других (дер),0,0,0,0,0,0
Богадельни,2,2,4,2,0,10
Больницы,0,1,0,0,0,1
Училища,0,1,0,0,0,1
Заводы: Серебро,0,0,0,0,0,0
Заводы: Медные,0,0,0,0,0,0
Заводы: Железные,0,0,0,0,0,0
