Категория,Мужеска,Женска
Оставалось к 1 января 1841 г.,517,222
Поступило (по неспособности к работам за старостью/болезнями),8,2
Убыло (за новые преступления),3,0
Убыло (бежало с мест водворения),3,0
Убыло (умерло),18,8
Всего остается налицо к 1 января 1842 г.,501,216
