Учреждение / Подразделение,Оставалось к 1841 г. (Дел),Оставалось к 1841 г. (Вход. бумаг),Решено в течение 1841 г. (Дел),Решено в течение 1841 г. (Вход. бумаг),Поступило бумаг (сведений и срочных донесений),Планов и чертежей (Составлено),Планов и чертежей (Получено),Осталось к 1842 г. (Дел),Осталось к 1842 г. (Вход. бумаг)
Итого по Красноярскому округу,483.0,250.0,1006.0,11671.0,7650.0,,,162.0,226.0
Енисейск: Общее окружное (Губ. правл.),1.0,23.0,,702.0,,,,1.0,13.0
Енисейск: Общее окружное (Каз. палата),,1.0,,32.0,4038.0,,,,3.0
Енисейск: Общее окружное (Губ. суд),,,,2.0,,,,,
Енисейск: Общее окружное (Особенные),,6.0,,1201.0,,,,,11.0
Итого по Енисейскому округу (А),1.0,30.0,,1937.0,,,,1.0,27.0
Енисейск: Городовая управа,14.0,27.0,28.0,3007.0,5898.0,,,10.0,42.0
Енисейск: Городовой суд (Гражд.),13.0,,337.0,345.0,,,,23.0,
Енисейск: Городовой суд (Угол.),9.0,,16.0,92.0,81.0,,,2.0,
Енисейск: Градская дума,,7.0,,1259.0,2523.0,,,,8.0
Енисейск: Сиротский суд,24.0,,3.0,200.0,200.0,,,26.0,
Итого по Енисейскому округу (город),60.0,34.0,63.0,4904.0,8702.0,,,61.0,50.0
Енисейск (уезд): Окружной суд (Гражд.),2.0,,15.0,,,,,10.0,
Енисейск (уезд): Окружной суд (Угол.),37.0,,254.0,,847.0,,,4.0,
Енисейск (уезд): Земский суд,106.0,33.0,155.0,5411.0,8921.0,,,115.0,25.0
Енисейск (уезд): Казначейство,,,,1985.0,1897.0,,,,
Енисейск (уезд): Окружной стряпчий,,,,603.0,226.0,,,,
Итого по Енисейскому округу (итог),206.0,97.0,487.0,14840.0,24631.0,,,191.0,102.0
