Разряд,Показатель,Целое,Дробь
Вкладов частных лиц,Было в 1841 г.,0,0
Вкладов частных лиц,Поступило в 1841 г.,879,5 1/14
Вкладов частных лиц,Осталось к 1842 г.,0,0
Карточных,Было в 1841 г.,1019,10
Карточных,Поступило в 1841 г.,3761,69 4/7
Карточных,Осталось к 1842 г.,266,30 6/7
