Категория,Красноярск,Енисейск,Ачинск,Канск,Минусинск
Заводы: Кожевенные,12,2,0,1,0
Заводы: Мыловаренные,4,2,0,0,0
Заводы: Салотопенные,5,0,0,3,0
Заводы: Стеклянные,0,0,0,0,0
Заводы: Полотняные,0,0,0,0,0
Кирпичные сараи,4,8,0,1,0
Мельницы: Паровые,0,0,0,0,0
Мельницы: Водяные,2,0,0,2,9
Мельницы: Ветряные,0,0,0,0,0
Кузницы,7,54,7,3,4
Заводы казенные: Сереброплавильные,0,0,0,0,0
Заводы казенные: Шлифовальные,0,0,0,0,0
Заводы казенные: и проч.,0,0,0,0,0
Арсеналы,0,0,0,0,0
Пороховые погреба,1,1,1,0,1
Адмиралтейские заведения,0,0,0,0,0
Магазины: Провиантские,2,1,0,1,1
Магазины: Комиссариатские,0,0,0,0,0
Магазины: Хлебные,1,2,1,1,2
Гостиные дворы,2,1,1,1,1
Гостиные дворы: лавок в них,150,128,33,19,8
Счетные рынки,1,2,0,0,0
Счетные рынки: лавок в них,11,11,0,0,0
Училища,2,1,1,0,0
Духовные: Мужчины,32,33,6,7,8
Духовные: Женщины,50,55,10,7,15
Военные: Мужчины,1015,198,141,109,121
Военные: Женщины,251,46,55,51,41
Гражданские: Мужчины,428,227,70,110,69
Гражданские: Женщины,341,172,33,65,77
Дворяне вне службы: Мужчины,101,79,8,3,10
Дворяне вне службы: Женщины,104,40,6,5,8
Разночинцы: Мужчины,200,242,6,6,13
Разночинцы: Женщины,150,175,12,10,9
