Показатель,На_казенный_счет,Собственно_поселенцев
Часовни,0,1
Дома,531,0
Амбары,1062,0
Сараи,531,0
Бани,531,0
Овины,531,0
Магазины,0,19
Особые амбарушки,0,22
Кузницы,0,12
Мельницы,0,7
Погреба,0,346
Маслобойни,0,1
Кожевни,0,3
Избушки,0,136
Стайки и дворы для скота,0,1727
Колодцы,0,65
Лошади,1593,463
Жеребята,103,80
Коровы,1062,1134
Телята,433,444
Овцы и козы,1593,1808
Ягнята,489,639
Свиньи,0,843
Поросята,0,95
Гуси,0,30
Куры,0,669
