Волость,Число душ,Класс,Итого повинности (руб),Итого повинности (коп),С души (руб),С души (коп),Голова (руб),Голова (коп),Писарь (руб),Писарь (коп),Сторожам (руб),Сторожам (коп),Волостные правления (руб),Волостные правления (коп),Этапные помещения (руб),Этапные помещения (коп),Почтовые помещения (руб),Почтовые помещения (коп),"Строения, магазины, перевоз (руб)","Строения, магазины, перевоз (коп)",Доставка госуд. податей (руб),Доставка госуд. податей (коп),Содержание разных людей (руб),Содержание разных людей (коп),Содержание подвод (руб),Содержание подвод (коп),Итого повинности (руб),Итого повинности (коп),С души (руб),С души (коп),Всего с души (руб),Всего с души (коп),Всего сумма (руб),Всего сумма (коп)
Мещане г. Канска,437.0,3.0,333.0,36.0,0.0,72.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,36
Шушенская (оседлых инородцев),2126.0,2.0,2150.0,29.0,1.0,1.0,8.0,57.0,171.0,42.0,85,71,520,0,14,0,0,0,1270,57,0,0,0,0,0,0,2970,28,0,0,0,0,11313,2
Новоселовская (оседлых инородцев),3290.0,2.0,3327.0,60.0,1.0,1.0,8.0,57.0,171.0,42.0,14,28,71,42,0,0,0,0,141,42,0,0,0,0,0,0,407,14,0,19,1,20,2557,44
Абаканская (оседлых инородцев),2385.0,2.0,2412.0,25.0,1.0,1.0,8.0,57.0,171.0,42.0,14,28,85,71,0,0,0,0,80,0,0,0,0,0,0,0,360,0,0,10,1,12,3687,60
Курагинская/Тесинская (оседлых инородцев),1795.0,2.0,1815.0,51.0,1.0,1.0,8.0,57.0,171.0,42.0,14,28,71,42,0,0,0,0,47,14,0,0,0,0,0,0,312,85,0,13,1,14,2725,11
Инородцы (Качинская степная дума),3475.0,3.0,2650.0,92.0,0.0,76.0,17.0,14.0,197.0,14.0,8,57,71,42,0,0,0,0,112,85,0,0,0,0,0,0,372,85,0,20,1,21,2188,37
Степная дума соединенных разнородных племен,3875.0,4.0,1970.0,71.0,0.0,50.0,14.0,28.0,197.0,14.0,51,46,300,0,0,0,0,0,381,42,0,0,0,0,0,0,1452,85,0,0,0,0,11158,52
Кайбальская степная дума,637.0,4.0,323.0,96.0,0.0,50.0,0.0,0.0,114.0,28.0,17,14,85,71,0,0,0,0,164,40,0,0,0,0,0,0,481,54,0,13,0,90,3132,47
Мещане г. Минусинска,564.0,3.0,430.0,25.0,0.0,76.0,0.0,0.0,0.0,0.0,17,14,42,85,0,0,0,0,98,91,0,0,0,0,0,0,370,34,0,9,0,60,2341,5
,,,,,,,,,,,21,42,28,57,0,0,0,0,0,0,0,0,0,0,0,0,164,28,0,25,0,76,488,24
