Статья,Минусинск (руб),Минусинск (коп),Ачинск (руб),Ачинск (коп),Канск (руб),Канск (коп),Итого (руб),Итого (коп)
Убытков от невыгодных оборотов в казенных заготовлениях,0,-,0,-,0,-,0,-
На ссыльных и на поселения,1294,10 1/14,2928,50 1/14,2802,93 2/7,48872,3 2/7
Итого расходов,14480,24 2/7,12610,52 1/14,41624,27 2/7,245967,56 1/14
