Показатель,На_казенный_счет,Собственно_поселенцев
Часовни,0,2
Дома,164,0
Магазины,0,3
Мельницы,0,5
Избушки,0,40
Стайки и хлевы,0,308
Амбары,328,0
Сараи,164,0
Бани,164,0
Овины,164,0
Кузницы,0,2
Теплые дворы,0,94
Лошади,193,741
Жеребята,60,106
Коровы,318,622
Телята,215,210
Овцы,72,216
Ягнята,43,55
Свиньи,0,240
Поросята,0,18
Куры,0,1677
