Категория / Раздел,Красноярской округ (Десятины),Красноярской округ (Сажени)
III. Пространство округа: Неудобной земли,57306,2275
III. Пространство округа: — — под водами,18009,420
III. Пространство округа: Итого . . . .,684793,809
III. Пространство округа: Всего . . . .,697063,425
