Статья дохода,Красноярск,Енисейск,Ачинск,Минусинск,Канск,Туруханск
10) штрафных с граждан,0.0,0.0,0.0,0.0,0.0,0.0
11) от перевозов,2579.71,0.0,563.41,0.0,1078.91,0.0
12) за содержание городских весов,177.35,191.66,28.57,28.57,22.85,0.0
а) с откупной питейной суммы,372.43,135.98,272.72,145.44,247.16,40.75
б) с торгующих крестьян,6.0,27.18,2.85,0.0,21.42,0.0
в) взысканных с членов,0.0,0.0,10.2,0.0,0.0,0.0
г) с скотобоен,91.73,0.0,0.0,0.0,0.0,0.0
д) отдаваемая сумма для прироста,0.0,0.0,0.0,0.0,0.0,0.0
е) с объявленных капиталов,306.5,208.5,78.0,244.41,209.14,0.0
ж) собранных с жителей,0.0,0.0,0.0,0.0,0.0,0.0
з) за содержание биржевых лошадей,20.0,0.0,0.0,0.0,0.0,0.0
и) с харчевен и кож. заводов,0.0,0.0,0.0,0.0,34.28,0.0
Итого (II),4599.95,1123.2,1999.7,472.62,1784.47,40.75
III.1 от продажи обществ. имуществ,67.85,0.0,0.0,88.0,0.0,0.0
III.2 пожертвований,0.0,100.0,0.0,0.0,0.0,0.0
III.3 по заимствованным,0.0,218.73,0.0,0.0,0.0,0.0
III.4 выморочных имений,0.0,0.0,0.0,0.0,0.0,0.0
