Категория,Красноярск,Енисейск,Ачинск,Канск,Минусинск
Число частей в городе,1,2,0,0,0
Число кварталов,4,2,2,1,2
Больших улиц,7,24,2,4,8
Переулков,12,20,13,4,5
Мостов чрез реки и речки,1,10,2,0,5
Церквей: соборов (Каменных),1,1,1,0,0
Церквей: соборов (Деревянных),0,0,0,0,0
Монастырей (Мужских),0,1,0,0,0
Монастырей (Женских),0,1,0,0,0
Приходских греко-российского исповедания (Каменных),4,7,1,1,1
Приходских греко-российского исповедания (Деревянных),0,0,1,0,0
Католических (Каменных),0,0,0,0,0
Католических (Деревянных),1,0,0,0,0
Лютеранских и других христианских исповеданий (Каменных),0,0,0,0,0
Лютеранских и других христианских исповеданий (Деревянных),0,0,0,0,0
Магометанских мечетей (Каменных),0,0,0,0,0
Магометанских мечетей (Деревянных),0,0,0,0,0
Ламских кумирен (Каменных),0,0,0,0,0
Ламских кумирен (Деревянных),0,0,0,0,0
"Домов (Казенных, Каменных)",8,3,0,0,0
"Домов (Казенных, Деревянных)",34,0,1,9,5
"Домов (Общественных, Каменных)",1,1,0,0,0
"Домов (Общественных, Деревянных)",5,2,1,2,4
"Домов (Обывательских, Каменных)",30,13,0,0,0
"Домов (Обывательских, Деревянных)",925,1074,383,215,214
Богаделен (От Приказа),1,0,0,0,0
Богаделен (От общества),1,1,1,1,1
Больниц,2,1,2,1,1
Воспитательных домов,0,0,0,0,0
Рабочих домов,6,0,0,0,0
Будок (каменных/деревянных),5,8,8,3,1
Питейных домов,8,9,3,3,3
Штофных лавочек,0,0,0,0,0
