Категория,III_муж,III_жен,IV_kazen_муж,IV_kazen_жен,IV_star_муж,IV_star_жен,V_муж,V_жен,Total_муж,Total_жен
Начальное состояние,159,51,6242,3967,13867,3432,5392,1347,25773,8817
Итоговое состояние,159,49,6244,3960,13804,3432,5457,1351,25773,8817
