Учреждение / Подразделение,Оставалось к 1841 г. (Дел),Оставалось к 1841 г. (Вход. бумаг),Решено в течение 1841 г. (Дел),Решено в течение 1841 г. (Вход. бумаг),Поступило бумаг (сведений и срочных донесений),Планов и чертежей (Составлено),Планов и чертежей (Получено),Осталось к 1842 г. (Дел),Осталось к 1842 г. (Вход. бумаг)
Общее губернское: Мин. внут. дел,147.0,159.0,1835.0,,,,5.0,135.0,168.0
Общее губернское: Мин. финансов,,,96.0,,,,,5.0,2.0
Общее губернское: Мин. юстиции,23.0,92.0,782.0,12988.0,5013.0,,,28.0,81.0
Общее губернское: Мин. нар. просвещения,16.0,13.0,411.0,,,,,9.0,17.0
ИТОГО: Общее губернское,186.0,264.0,3124.0,12988.0,5013.0,,5.0,177.0,268.0
Губ. правление: 1 отделение,113.0,2.0,163.0,1230.0,1568.0,,,88.0,3.0
Губ. правление: 2 отделение,547.0,6.0,736.0,3667.0,3232.0,,1.0,567.0,8.0
Губ. правление: 3 отделение,120.0,7.0,228.0,1958.0,827.0,,,42.0,9.0
Губ. правление: Экспедиция о ссыльных,191.0,17.0,771.0,3879.0,1842.0,,,224.0,15.0
Губ. правление: Секретные (общ. присутствие),29.0,,53.0,244.0,125.0,,,26.0,
ИТОГО: Губернское правление,1000.0,32.0,1951.0,10968.0,7594.0,,1.0,947.0,35.0
Казенная палата: По делам хозяйства,69.0,80.0,484.0,1672.0,213.0,442.0,1645.0,111.0,107.0
Казенная палата: Казначейство,194.0,16.0,171.0,2292.0,2232.0,178.0,2302.0,187.0,6.0
Казенная палата: Счетный отдел,14.0,8.0,222.0,154.0,1541.0,231.0,156.0,5.0,6.0
Казенная палата: Винно-соляной,58.0,31.0,87.0,849.0,1921.0,103.0,862.0,42.0,18.0
Казенная палата: Рекрутское присутствие,17.0,13.0,30.0,288.0,94.0,,,6.0,50.0
Казенная палата: Канцелярия,3.0,6.0,,284.0,273.0,,285.0,3.0,5.0
ИТОГО: Казенная палата,355.0,154.0,994.0,5539.0,6274.0,954.0,5250.0,354.0,192.0
Губ. суд: Уголовных,74.0,,623.0,1394.0,2250.0,,,41.0,
Губ. суд: Гражданских,8.0,,6.0,6.0,9.0,,,4.0,
Губ. суд: Следственных,1.0,,3.0,8.0,13.0,,,1.0,
Губ. суд: Предметы совместного суда,,,2.0,6.0,9.0,,,1.0,
Губ. суд: Секретные,4.0,,30.0,67.0,97.0,,,,
ИТОГО: Губернский суд,87.0,,664.0,1481.0,2378.0,,,53.0,
Приказ общественного призрения,20.0,2.0,87.0,194.0,589.0,,,17.0,4.0
