Волость,Число душ,Класс,На все повинности (руб),На все повинности (коп),С каждой души (руб),С каждой души (коп),Волостному голове (руб),Волостному голове (коп),Писарям (руб),Писарям (коп)
Кежемская,1620,4,823,88,0,50,8,57,171,42
Богучанская,2343,4,1191,58,0,50,8,57,171,42
Оседлые инородцы,123,4,62,53,0,50,0,0,0,0
Казачинская,2741,3,2090,99,0,76,8,57,171,42
Бельская,1566,4,796,42,0,50,8,57,171,42
Моклоковская,1518,4,381,66,0,25,8,57,171,42
Анцыферовская,1511,4,768,45,0,50,8,57,171,42
Яланская,1270,5,319,31,0,25,8,57,171,42
Инородцы шерохинские и нанудальские,54,5,13,57,0,25,0,0,0,0
