Учреждение / Подразделение,Оставалось к 1841 г. (Дел),Оставалось к 1841 г. (Вход. бумаг),Решено в течение 1841 г. (Дел),Решено в течение 1841 г. (Вход. бумаг),Поступило бумаг (сведений и срочных донесений),Планов и чертежей (Составлено),Планов и чертежей (Получено),Осталось к 1842 г. (Дел),Осталось к 1842 г. (Вход. бумаг)
Ачинск: Город (Городовая управа),5.0,31.0,90.0,3209.0,2114.0,,,3.0,16.0
Ачинск: Город (Ратуша - Гражданских),10.0,,8.0,26.0,,,,4.0,
Ачинск: Город (Ратуша - Уголовных),1.0,2.0,5.0,13.0,819.0,,,1.0,
Итого по Ачинскому округу (город),16.0,33.0,103.0,3248.0,2933.0,,,8.0,16.0
Ачинск (уезд): Окружной суд (Гражд.),7.0,,12.0,,,,,4.0,
Ачинск (уезд): Окружной суд (Угол.),43.0,2.0,143.0,2916.0,2003.0,,,26.0,
Ачинск (уезд): Земский суд,139.0,317.0,310.0,9133.0,2055.0,,,126.0,122.0
Ачинск (уезд): Казначейство,,,,1215.0,680.0,,,,
Ачинск (уезд): Окружной стряпчий,,,,603.0,226.0,,,,
Итого по Ачинскому округу,205.0,352.0,568.0,17115.0,7817.0,,,164.0,138.0
ИТОГО по Енисейской губернии,3224.0,1708.0,12440.0,99757.0,74205.0,1021.0,5333.0,2348.0,1183.0
