"Отделение первое. Состояния, не включаемые в ревизию",Красноярской (Мужского пола),Красноярской (Женского пола),Енисейской (Мужского пола),Енисейской (Женского пола)
Г. Неслужащих инвалидов: Чиновников,-,-,-,-
Г. Неслужащих инвалидов: Их детей,-,-,-,-
Г. Неслужащих инвалидов: Нижних чинов,28,15,-,-
"Г. Неслужащих инвалидов: Их детей, при родителях",-,3,-,-
Итого по Г. Неслужащих инвалидов,28,18,-,-
Д. Часть интендантская: 1) Провиантских: Чиновников,1,-,-,-
Д. Часть интендантская: 1) Провиантских: Их детей,-,-,-,-
Д. Часть интендантская: 1) Провиантских: Нижних чинов,7,5,-,-
Д. Часть интендантская: 1) Провиантских: Их детей,3,7,-,-
Итого по 1) Провиантских,11,12,-,-
Д. Часть интендантская: 2) Комиссариатских: Чиновников,-,-,-,-
Д. Часть интендантская: 2) Комиссариатских: Их детей,-,-,-,-
Д. Часть интендантская: 2) Комиссариатских: Нижних чинов,-,-,-,-
Д. Часть интендантская: 2) Комиссариатских: Их детей,-,-,-,-
Итого по 2) Комиссариатских,11,12,-,-
Всего по Военному ведомству.,1339,361,326,104
IV. Морское ведомство: 1) Флотских: Чиновников,-,-,-,-
IV. Морское ведомство: 1) Флотских: Их детей,-,-,-,-
IV. Морское ведомство: 1) Флотских: Нижних чинов,-,-,-,-
IV. Морское ведомство: 1) Флотских: Их детей,-,-,-,-
Итого по 1) Флотских,-,-,-,-
IV. Морское ведомство: 2) Адмиралтейских: Чиновников,-,-,-,-
IV. Морское ведомство: 2) Адмиралтейских: Их детей,-,-,-,-
