Категория,Ачинской (Мужского),Ачинской (Женского),Канской (Мужского),Канской (Женского),Минусинской (Мужского),Минусинской (Женского),Итого (Мужского),Итого (Женского)
Цеховых.,-,-,-,-,-,-,-,-
Промежуточный итог (цеховые/мещане/гости),816,835,524,544,675,632,5842,5782
4. Дворовых людей: Русских,15,9,5,4,-,-,60,43
4. Дворовых людей: Калмыков,-,-,-,-,-,-,-,-
Итого по 4. Дворовых людей,15,9,5,4,-,-,60,43
5. Монастырских служителей,-,-,-,-,-,-,17,10
Итого по разделу I. Городовые жители,846,854,561,565,693,648,6113,5985
II. Поселяне: 1. Крестьян: Государственных,10194,10609,11959,10804,9656,9644,59670,58366
II. Поселяне: 1. Крестьян: Экономических,60,59,1143,1123,30,40,2964,2814
II. Поселяне: 1. Крестьян: Заводских и приписных к заводам,-,-,-,-,-,-,-,-
II. Поселяне: 1. Крестьян: Помещичьих,-,-,5,4,-,-,62,64
Итого по 1. Крестьян,10254,10668,13107,11931,9686,9684,62696,61244
II. Поселяне: 2. Военных поселян,-,-,8,5,-,-,71,53
II. Поселяне: Их детей.,-,-,-,-,-,-,66,25
Промежуточный итог по военным поселянам,-,-,8,5,-,-,137,78
Итого по разделу II. Поселяне,10254,10668,13115,11936,9686,9684,62833,61322
III. Инородцы: 1. Оседлых: Торговых,-,-,-,-,-,-,-,-
III. Инородцы: 1. Оседлых: Земледельцев,436,453,-,-,199,163,904,803
Итого по 1. Оседлых,436,453,-,-,199,163,904,803
III. Инородцы: 2. Кочевых: Христиан,2834,2061,108,99,5111,4351,8069,6527
III. Инородцы: 2. Кочевых: Иноверцев,-,-,-,-,4429,4621,4429,4621
Итого по 2. Кочевых,2834,2061,108,99,9540,8972,12498,11148
III. Инородцы: 3. Бродячих: Христиан,-,-,-,-,-,-,2377,2252
III. Инородцы: 3. Бродячих: Иноверцев,-,-,-,-,-,-,1712,1475
Итого по 3. Бродячих,-,-,-,-,-,-,4089,3727
Итого по разделу III. Инородцы,3270,2514,108,99,9739,9135,17491,15678
