Статья,Красноярск (руб),Красноярск (коп),Енисейск (руб),Енисейск (коп)
Убытков от невыгодных оборотов в казенных заготовлениях,0,-,0,-
На ссыльных и на поселения,41126,14 2/7,720,35 3/7
Итого расходов,15850,15 1/7,18741,36 3/7
