Учреждение / Подразделение,Оставалось к 1841 г. (Дел),Оставалось к 1841 г. (Вход. бумаг),Решено в течение 1841 г. (Дел),Решено в течение 1841 г. (Вход. бумаг),Поступило бумаг (сведений и срочных донесений),Планов и чертежей (Составлено),Планов и чертежей (Получено),Осталось к 1842 г. (Дел),Осталось к 1842 г. (Вход. бумаг)
Канск: Город (Городовая управа),16.0,75.0,28.0,2802,1625.0,,,12.0,20.0
Канск: Город (Словесный суд),,,,325,107.0,,,,3.0
Канск (уезд): Окружной суд (Гражд.),14.0,,16.0,81,315.0,,,17.0,
Канск (уезд): Окружной суд (Угол.),219.0,,471.0,1601,,,,10.0,2.0
Канск (уезд): Земский суд,143.0,8.0,378.0,4444,3020.0,,,30.0,1.0
Канск (уезд): Казначейство,,17.0,,1508,1203.0,,,,25.0
Канск (уезд): Окружной стряпчий,,21.0,,689,190.0,,,,14.0
Итого по Канскому округу,392.0,121.0,893.0,11450,6460.0,,,69.0,65.0
Минусинск: Общее окружное (Губ. правл.),4.0,6.0,2.0,405,,,2.0,3.0,5.0
