Волость,Число душ,Класс,Итого повинности (руб),Итого повинности (коп),С души (руб),С души (коп),Голова (руб),Голова (коп),Писарь (руб),Писарь (коп)
Мещане г. Канска,437,3,333,36,0,72,0,0,0,0
Шушенская (оседлых инородцев),2126,2,2150,29,1,1,8,57,171,42
Новоселовская (оседлых инородцев),3290,2,3327,60,1,1,8,57,171,42
Абаканская (оседлых инородцев),2385,2,2412,25,1,1,8,57,171,42
Курагинская/Тесинская (оседлых инородцев),1795,2,1815,51,1,1,8,57,171,42
Инородцы (Качинская степная дума),3475,3,2650,92,0,76,17,14,197,14
Степная дума соединенных разнородных племен,3875,4,1970,71,0,50,14,28,197,14
Кайбальская степная дума,637,4,323,96,0,50,0,0,114,28
Мещане г. Минусинска,564,3,430,25,0,76,0,0,0,0
