Волость,Число душ,Класс,На все повинности (руб),На все повинности (коп),С каждой души (руб),С каждой души (коп),Волостному голове (руб),Волостному голове (коп),Писарям (руб),Писарям (коп),Сторожам (руб),Сторожам (коп),Волостные правления (руб),Волостные правления (коп),Этапные помещения (руб),Этапные помещения (коп),Почтовые помещения (руб),Почтовые помещения (коп),"Строения, магазины, перевоз (руб)","Строения, магазины, перевоз (коп)",Доставка госуд. податей (руб),Доставка госуд. податей (коп),Содержание разных людей (руб),Содержание разных людей (коп),Содержание подвод (руб),Содержание подвод (коп),Итого повинности (руб),Итого повинности (коп),С души (руб),С души (коп),Всего с души (руб),Всего с души (коп),Всего сумма (руб),Всего сумма (коп)
Кежемская,1620,4,823,88,0,50,8,57,171,42,11,42,100,0,0,0,0,0,12,85,0,0,0,0,0,0,304,28,0,18,0,69,1128,17
Богучанская,2343,4,1191,58,0,50,8,57,171,42,14,28,92,85,0,0,0,0,21,42,0,0,0,0,0,0,308,57,0,13,0,64,1500,15
Оседлые инородцы,123,4,62,53,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62,55
Казачинская,2741,3,2090,99,0,76,8,57,171,42,14,28,72,14,0,0,0,0,91,0,0,0,0,0,0,0,357,45,0,13,0,89,2448,42
Бельская,1566,4,796,42,0,50,8,57,171,42,14,28,67,14,0,0,0,0,71,42,0,0,0,0,0,0,332,85,0,21,0,72,1129,28
Моклоковская,1518,4,381,66,0,25,8,57,171,42,14,28,58,57,0,0,0,0,58,57,0,0,0,0,0,0,311,42,0,21,0,46,693,9
Анцыферовская,1511,4,768,45,0,50,8,57,171,42,14,28,85,71,0,0,0,0,72,58,0,0,0,0,0,0,352,58,0,23,0,74,1121,3
Яланская,1270,5,319,31,0,25,8,57,171,42,14,28,60,0,0,0,0,0,40,0,0,0,0,0,0,0,294,28,0,23,0,48,613,60
Инородцы шерохинские и нанудальские,54,5,13,57,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,57
