Категория,Енисейской (Десятины),Енисейской (Сажени),Ачинской (Десятины),Ачинской (Сажени),Канской (Десятины),Канской (Сажени),Минусинской (Десятины),Минусинской (Сажени),Итого (Десятины),Итого (Сажени)
III. Пространство округа: Неудобной земли,1124,662,89348,357,33654,100,81191,475,262624,1469
III. Пространство округа: — — под водами,692,166,5048,1878,5192,1878,231168,1531,260111,917
III. Пространство округа: Итого . . . .,7421,863,323936,1598,608756,1080,653615,1520,2278523,1070
III. Пространство округа: Всего . . . .,17014,1657,327931,1985,635479,720,668086,1359,2345575,1346
