Категория,Ачинской (Мужского),Ачинской (Женского),Канской (Мужского),Канской (Женского),Минусинской (Мужского),Минусинской (Женского),Итого (Мужского),Итого (Женского)
Христиан греческого исповедания,19662,16229,23996,19355,22871,19854,114843,98653
Раскольников (*),15,-,73,14,55,2,320,67
Римского исповедания,29,11,199,157,55,4,787,264
Прочих исповеданий,-,-,-,-,4,3,78,34
Итого христианских исповеданий,19706,16240,24268,19506,22985,19863,116028,99018
Евреев.,70,56,183,150,58,38,794,657
Магометан . .,36,7,116,21,18,1,251,41
Ламской веры. .,-,-,-,-,-,-,-,-
В том числе лам,-,-,-,-,-,-,-,-
Прочих язычников.,4,2,-,-,4429,4621,6119,6111
Итого нехристианских исповеданий / иноверцев,110,65,299,171,4505,4660,7164,6809
Служащих и неслужащих от 14 до 9 класса,21,20,31,22,22,18,259,106
От 8 до 6 — . .,2,2,-,-,5,6,39,28
5 — . . . . .,-,-,-,-,-,-,5,2
4 — . . . . .,-,-,-,-,-,-,1,1
3 и 2 . . . . .,-,-,-,-,-,-,-,-
