Статья дохода,Красноярск,Енисейск,Ачинск,Минусинск,Канск,Туруханск
5) взыскано общественных долгов,0.0,0.0,0.0,45.71,0.0,0.0
Итого (III),67.85,318.73,0.0,133.71,0.0,0.0
V.1 с купцов,0.0,0.0,0.0,0.0,0.0,0.0
V.2 с мещан,0.0,148.82,0.0,228.18,0.0,0.0
"V.3 с разночинцев, имеющих дома",0.0,0.0,0.0,0.0,0.0,0.0
V.4 с недвижимых имуществ по раскладке,0.0,0.0,0.0,0.0,0.0,0.0
Итого (V),0.0,148.82,0.0,228.18,0.0,0.0
Всего доходов,6013.65,5042.27,2648.63,1203.89,2070.19,83.6
