"Отделение первое. Состояния, не включаемые в ревизию",Красноярской (Мужского пола),Красноярской (Женского пола),Енисейской (Мужского пола),Енисейской (Женского пола)
Чиновников,22,11,-,-
Их детей,8,6,-,-
Нижних чинов,995,113,-,-
"Их детей, при родителях",47,53,-,-
Итого поразделу 1,1072,183,-,-
"3) В инвалидных командах, исправляющих обязанности внутренней стражи: Чиновников",3,3,5,4
3) Их детей,-,7,3,3
3) Нижних чинов,52,30,277,54
"3) Их детей, при родителях",21,19,25,23
Итого по разделу 3,76,59,310,84
4) В этапных командах: Чиновников,2,1,-,-
4) Их детей,-,-,-,-
4) Нижних чинов,68,41,11,10
"4) Их детей, при родителях",24,20,5,10
Итого по разделу 4,94,62,16,20
5) В жандармских командах: Чиновников,2,1,-,-
5) Их детей,2,3,-,-
5) Нижних чинов,30,9,-,-
5) Их детей,10,5,-,-
Итого по разделу 5,44,18,-,-
"6) Пехотных гарнизонных войск, в крепостях расположенных: Чиновников",-,-,-,-
6) Их детей,-,-,-,-
6) Нижних чинов,-,-,-,-
6) Их детей,-,-,-,-
Итого по разделу 6,-,-,-,-
7) Ведомство инженерное: Чиновников,-,-,-,-
7) Их детей,-,-,-,-
7) Нижних чинов,-,-,-,-
7) Их детей,-,-,-,-
Итого по разделу 7,-,-,-,-
