id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;13 июня 1853 г.;1853-06-13;ДЕЛО СИБИРСКОГО КОМИТЕТА № 73 çà 1852 ãîä Началось:;#event_1884_1
2;1883 г.;1883;ДЕЛО СИБИРСКОГО КОМИТЕТА № 73 çà 1852 ãîä Началось:;#event_1884_2
3;1853 года;1853;2 ОПИСЬ БУМАГАМ, В СЕМ ДЕЛЕ СОДЕРЖАЩИМСЯ № Означение бумаг На скольких листах 1;#event_1884_3
4;1853 г.;1853;3 МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ПО КАНЦЕЛЯРИИ Общего губернского управл;#event_1884_4
5;1852 год;1852;3 МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ПО КАНЦЕЛЯРИИ Общего губернского управл;#event_1884_5
6;1852 г.;1852;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;#event_1884_6
7;1851 г.;1851;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;#event_1884_7
8;1852 г.;1852;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;#event_1884_8
9;1852 г.;1852;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;#event_1884_9
10;1 января 1853 г.;1853-01-01;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;#event_1884_10
11;1852 г.;1852;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;#event_1884_11
12;1842 г.;1842;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;#event_1884_12
13;7 ноября 1852 г.;1852-11-07;10;#event_1884_13
14;1852 г.;1852;10;#event_1884_14
15;1852 г.;1852;10;#event_1884_15
16;1851 г.;1851;11 Тюрьмы, этапы, остроги Тюремные помещения в;#event_1884_16
17;1853 г.;1853;11 Тюрьмы, этапы, остроги Тюремные помещения в;#event_1884_17
18;1852 г.;1852;11 Тюрьмы, этапы, остроги Тюремные помещения в;#event_1884_18
19;1852 г.;1852;11 Тюрьмы, этапы, остроги Тюремные помещения в;#event_1884_19
20;1852 г.;1852;12 Беглые и бродяги В течение;#event_1884_20
21;1852 г.;1852;12 Беглые и бродяги В течение;#event_1884_21
22;1852 г.;1852;12 Беглые и бродяги В течение;#event_1884_22
23;1852 г.;1852;13 Сверх того, в продолжение в;#event_1884_23
24;1852 г.;1852;13 Сверх того, в продолжение в;#event_1884_24
25;11 мая 1827 г.;1827-05-11;13 Сверх того, в продолжение в;#event_1884_25
26;19 июля 1838 г.;1838-07-19;13 Сверх того, в продолжение в;#event_1884_26
27;1852 г.;1852;13 Сверх того, в продолжение в;#event_1884_27
28;1852 г.;1852;13 Сверх того, в продолжение в;#event_1884_28
29;1852 г.;1852;14 При производстве в;#event_1884_29
30;1852 г.;1852;14 При производстве в;#event_1884_30
31;1852 г.;1852;14 При производстве в;#event_1884_31
32;1852 г.;1852;14 При производстве в;#event_1884_32
33;11 октября 1849 г.;1849-10-11;14 При производстве в;#event_1884_33
34;17 июня 1850 г.;1850-06-17;14 При производстве в;#event_1884_34
35;22 февраля 1850 г.;1850-02-22;14 При производстве в;#event_1884_35
