ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;13 июня 1853 г.;1853-06-13;ДЕЛО СИБИРСКОГО КОМИТЕТА № 73 çà 1852 ãîä Началось:;
2;1883 г.;1883;ДЕЛО СИБИРСКОГО КОМИТЕТА № 73 çà 1852 ãîä Началось:;
3;1853 года;1853;2 ОПИСЬ БУМАГАМ, В СЕМ ДЕЛЕ СОДЕРЖАЩИМСЯ № Означение бумаг На скольких листах 1;
4;1853 г.;1853;3 МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ПО КАНЦЕЛЯРИИ Общего губернского управл;
5;1852 год;1852;3 МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ПО КАНЦЕЛЯРИИ Общего губернского управл;
6;1852 г.;1852;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;
7;1851 г.;1851;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;
8;1852 г.;1852;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;
9;1852 г.;1852;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;
10;1 января 1853 г.;1853-01-01;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;
