Тег;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
persName;Сенцове;;1;Сословия;мещанин
persName;Алексееве;;1;Сословия;мещанин
persName;Желуданове;;1;Сословия;мещанин
persName;Беликове;;1;Сословия;мещанин
persName;Добранине;;1;Сословия;мещанин
persName;Бабиеве;;1;Сословия;мещанин
persName;Соколова;;1;Сословия;мещанка
persName;Фалеева;;1;Сословия;мещанка
persName;Алексееву;;1;Сословия;мещанка
persName;Туголукова;;1;Сословия;мещанка
persName;Сурикову;;1;Сословия;мещанка

persName;Грудининым;;1;Сословия;мещанин
persName;Гробовский;;1;Сословия;мещанин
persName;Михаил Степанов;;1;Сословия;мещанин
persName;Давыдовым;;1;Сословия;мещанин
persName;Кузубове;;1;Сословия;мещанин
persName;Монахове;;1;Сословия;мещанин
persName;Волянский;;1;Сословия;мещанин
persName;Лукьянову;;1;Сословия;мещанин
persName;Лисовский;;1;Сословия;мещанин
persName;Дмитрий Кащенка;;1;Сословия;мещанин
persName;Марков;;1;Сословия;мещанин
persName;Абакумове;;1;Сословия;мещанин
persName;Зыкове;;1;Сословия;мещанин
persName;Вилговича;;1;Сословия;мещанин
persName;Василков;;1;Сословия;мещанин
persName;Пестерева;;1;Сословия;мещанка
persName;Свешникове;;1;Сословия;мещанин
persName;Кочкине;;1;Сословия;мещанин
persName;Масленикове;;1;Сословия;мещанин
persName;Налобардине;;1;Сословия;мещанин
persName;Арбекова;;1;Сословия;мещанка
persName;Самковым;;1;Сословия;мещанин
persName;Абрамова;;1;Сословия;мещанка
persName;Новиковым;;1;Сословия;мещанин
persName;Михаила Шарыпова;;1;Сословия;мещанин

persName;Алеева;;1;Сословия;мещанка
persName;Елена Зырянова;;1;Сословия;мещанка
persName;Влахом;;1;Сословия;мещанин
persName;Башурова;;1;Сословия;мещанка
persName;Полигузове;;1;Сословия;мещанин
persName;Добрашеве;;1;Сословия;мещанин
persName;Шарыпова;;1;Сословия;мещанка
persName;Щепетильникова;;1;Сословия;мещанин
persName;Лучникову;;1;Сословия;мещанка
persName;Добрашевым;;1;Сословия;мещанин
persName;Полигузовым;;1;Сословия;мещанин
persName;Столыпина;;1;Сословия;мещанка
persName;Барзецова;;1;Сословия;мещанка
persName;Туговикова;;1;Сословия;мещанка
persName;Романа Колмагорова;;1;Сословия;мещанин
persName;Григорий Патюков;;1;Сословия;мещанин
persName;Надежда Горецкая;;1;Сословия;мещанка
persName;Веселова;;1;Сословие;мещанка
persName;Петрова;;1;Сословия;мещанка
persName;Колмагорова;;1;Сословия;мещанка
persName;Дохтурова;;1;Сословия;мещанка
persName;Евсеева;;1;Сословия;мещанка
persName;Кобалина;;1;Сословия;мещанка
persName;Коростилева;;1;Сословия;мещанка
persName;Григорьева;;1;Сословия;мещанка
persName;Попова;;1;Сословия;мещанка
persName;Сыренщикова;;1;Сословия;мещанка
persName;Бунова;;1;Сословия;мещанка
persName;Михайлова;;1;Сословия;мещанка
persName;Шадрина;;1;Сословия;мещанка
persName;Ивана Ермолаева;;1;Сословия;мещанин

persName;Стручкова;;1;Сословия;мещанка
persName;Машукова;;1;Сословия;мещанка
persName;Авдотья Кошкарова;;1;Сословия;мещанка
persName;Павел Михайлов;;1;Сословия;мещанин
persName;Егор Козмин;;1;Сословия;мещанин
persName;Гофмана;;1;Сословия;мещанка
persName;Бранштейна;;1;Сословия;мещанин
persName;Никулина;;1;Сословия;мещанка
persName;Ермолаева;;1;Сословия;мещанка
persName;Анастасия Гаврилова;;1;Сословия;мещанка
persName;Пелагея Васильева;;1;Сословия;мещанка
persName;Евдокимова;;1;Сословия;мещанка
persName;Кузнецова;;1;Сословия;мещанка
persName;Степан Стрелков;;1;Сословия;мещанин
persName;Федор Кузмин;;1;Сословия;мещанин
persName;Егор Черемных;;1;Сословия;мещанин
persName;Иван Козминых;;1;Сословия;мещанин
persName;Иван Стариков;;1;Сословия;мещанин
persName;Иван Старцов;;1;Сословия;мещанин
persName;Иван Щепетунин;;1;Сословия;мещанин
persName;Яков Кочнев;;1;Сословия;мещанин
persName;Александра Скорнякова;;1;Сословия;мещанка
persName;Анашкин;;1;Сословия;мещанин
persName;Степанов;;1;Сословия;мещанин
persName;Непомнящая;;1;Сословия;ссыльная
persName;Непомнящий;;1;Сословия;ссыльный
persName;Шмулливиович;;1;Сословия;мещанин
persName;Никифор Гогулин;;1;Сословия;мещанин
persName;Мазалевский;;1;Сословия;государственный преступник
persName;Павел Вышемирский;;1;Сословия;политический преступник
persName;Хотимский;;1;Сословия;торгующий крестьянин
persName;Александр Винокуров;;1;Сословия;купец
persName;Александр Ковригин;;1;Сословия;купец
persName;Нестеров;;1;Сословия;купец
persName;Петухов;;1;Сословия;купец
persName;Данилов;;1;Сословия;купец

