id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;17 июня 1885 г.;1885-06-17;По описи № 118/ 185;#event_1884_1
2;2 августа 1885 г.;1885-08-02;По описи № 118/ 185;#event_1884_2
3;1884 г.;1884;Форма № 23;#event_1884_3
4;1884 г.;1884;ЧАСТНАЯ ОПИСЬ бумагам, заключающимся в деле № 118 № по порядку Наименование бумаг На скольких листах;#event_1884_4
5;1884 год;1884;4 Его Императорскому Величеству Исправляющего должность;#event_1884_5
6;17 июня 1885 года;1885-06-17;;#event_1884_6
7;1884 год;1884;5 ВСЕПОДДАННЕЙШИЙ ОТЧЕТ начальника енисейской губернии за;#event_1884_7
8;1884 г.;1884;5 ВСЕПОДДАННЕЙШИЙ ОТЧЕТ начальника енисейской губернии за;#event_1884_8
9;1 января 1885 г.;1885-01-01;6 На золотых приисках было рабочих 11 962, более предшествовавшего года на 410 чел. Золота добыто 32;#event_1884_9
10;1882 г.;1882;7 Из эпидемических болезней по степени развития и числу жертв первое место занимали дифтерит и натур;#event_1884_10
11;1884 г.;1884;Донесение С представлением копии отчета и обзора за;#event_1884_11
12;7 июня 1885 г.;1885-06-07;Донесение С представлением копии отчета и обзора за;#event_1884_12
13;1884 г.;1884;Донесение С представлением копии отчета и обзора за;#event_1884_13
14;1884 г.;1884;Донесение С представлением копии отчета и обзора за;#event_1884_14
15;1884 г.;1884;Донесение С представлением копии отчета и обзора за;#event_1884_15
16;1884 г.;1884;9 По одному экземпляру обзора за;#event_1884_16
17;11 мая 1885 г.;1885-05-11;10 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР по ОБЩЕМУ ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение 3 Стол 3;#event_1884_17
18;24 июля 1885 г.;1885-07-24;10 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР по ОБЩЕМУ ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение 3 Стол 3;#event_1884_18
19;1884 г.;1884;10 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР по ОБЩЕМУ ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение 3 Стол 3;#event_1884_19
20;1884 г.;1884;10 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР по ОБЩЕМУ ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение 3 Стол 3;#event_1884_20
21;1884 г.;1884;11 В;#event_1884_21
22;11 мая 1885 г.;1885-05-11;11 В;#event_1884_22
23;1885 г.;1885;11 В;#event_1884_23
24;7 июля 1885 года;1885-07-07;11 В;#event_1884_24
25;26 июня 1885 г.;1885-06-26;13 № 218;#event_1884_25
26;26 июня 1885 г.;1885-06-26;13 № 218;#event_1884_26
27;7 декабря 1879 г.;1879-12-07;13 № 218;#event_1884_27
28;1884 г.;1884;13 № 218;#event_1884_28
29;1884 г.;1884;13 № 218;#event_1884_29
30;1885 год;1885;15 ОБЗОР ЕНИСЕЙСКОЙ ГУБЕРНИИГУБЕРНИИ ЗА 1884 ГОД Приложение ко всеподданнейшему отчету КРАСНОЯРСК ТИ;#event_1884_30
31;25 августа 1883 г.;1883-08-25;23 700 верст и вливается в Тазовскую губу. Кроме означенных рек, губернию орошают еще реки системы О;#event_1884_31
32;20 мая 1884 г.;1884-05-20;23 700 верст и вливается в Тазовскую губу. Кроме означенных рек, губернию орошают еще реки системы О;#event_1884_32
33;1884 г.;1884;"24 б) на своем содержании — работнику с лошадью 1 руб. 5 коп., пешему 70 коп. и работнице 45 коп.; в";#event_1884_33
34;1 января 1885 г.;1885-01-01;26 Б. Обеспечение народного продовольствия К;#event_1884_34
35;22 марта 1884 г.;1884-03-22;26 Б. Обеспечение народного продовольствия К;#event_1884_35
36;1884 г.;1884;26 Б. Обеспечение народного продовольствия К;#event_1884_36
37;1 января 1885 г.;1885-01-01;27 состоят в ссуде и недоимке и таким образом к;#event_1884_37
38;1883 г.;1883;"29 и половиков 81 940 арш. на 8 069 руб.; деревянной посуды — на 1 785 руб.; саней, телег и прочего ";#event_1884_38
39;1884 г.;1884;34 назВание заВодоВ Перекурено вина из муки, пуд. Получено Среднее число пудов, употребленных в суто;#event_1884_39
40;1884 г.;1884;"35 годовых — 48 и полугодовых 45; на разносный торг: годовых — 61 и полугодовых 19; на мещанские про";#event_1884_40
41;1 января 1885 г.;1885-01-01;"35 годовых — 48 и полугодовых 45; на разносный торг: годовых — 61 и полугодовых 19; на мещанские про";#event_1884_41
42;1884 г.;1884;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;#event_1884_42
43;1 января 1885 г.;1885-01-01;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;#event_1884_43
44;1884 г.;1884;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;#event_1884_44
45;1 января 1885 г.;1885-01-01;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;#event_1884_45
46;1884 г.;1884;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;#event_1884_46
47;1 января 1885 г.;1885-01-01;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;#event_1884_47
48;1 января 1885 г.;1885-01-01;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;#event_1884_48
49;1885 г.;1885;40 купцах и мещанах — 26 063 руб. 5 ¾ коп., поселенцах — 215 971 руб. 67¾ коп. и других — 10 734 руб;#event_1884_49
50;1883 г.;1883;40 купцах и мещанах — 26 063 руб. 5 ¾ коп., поселенцах — 215 971 руб. 67¾ коп. и других — 10 734 руб;#event_1884_50
51;1885 г.;1885;40 купцах и мещанах — 26 063 руб. 5 ¾ коп., поселенцах — 215 971 руб. 67¾ коп. и других — 10 734 руб;#event_1884_51
52;1876 г.;1876;40 купцах и мещанах — 26 063 руб. 5 ¾ коп., поселенцах — 215 971 руб. 67¾ коп. и других — 10 734 руб;#event_1884_52
53;1884 г.;1884;"41 управлений и другие городские расходы — 44 503 руб. 2¾ коп., итого 184 307 руб. 39¼ коп.; и 3) вн";#event_1884_53
54;1884 г.;1884;"41 управлений и другие городские расходы — 44 503 руб. 2¾ коп., итого 184 307 руб. 39¼ коп.; и 3) вн";#event_1884_54
55;16 мая 1870 г.;1870-05-16;"42 пострадавшим от пожара — 12 228 руб. 66 коп.; з) Щеголевых на устройство бесплатной столовой — 6 ";#event_1884_55
