Округ,Хлеб,Справ_Зим,Справ_Вес,Справ_Лет,Справ_Ос,Торг_Зим,Торг_Вес,Торг_Лет,Торг_Ос
Енисейский,Ячмень,1 р. 88 1/2,1 р. 89 1/2,1 р. 89 1/2,2 р. 33,1 р. 75,1 р. 80,1 р. 91,2 р. 25
Енисейский,Просо,-,-,-,-,-,-,-,-
Енисейский,Горох,-,-,-,-,-,-,-,-
Енисейский,Рожь,2 р. 82 1/4,2 р. 53 1/4,2 р. 53 1/4,2 р. 11,2 р. 82 1/4,2 р. 53 1/4,2 р. 12 3/4,2 р. 11
Енисейский,Пшеница,4 р. 80,6 р. 14,6 р. 14,4 р. 80,4 р. 80,6 р. 14,5 р. 41 3/4,4 р. 80
Енисейский,Овес,2 р. 86 1/4,2 р. 16,2 р. 16,2 р. 81 1/4,2 р. 86 1/4,2 р. 16,2 р. 85 3/4,2 р. 81 1/4
Енисейский,Греча,-,-,-,-,-,-,-,-
Енисейский,Просо,-,-,-,-,-,-,-,-
Енисейский,Горох,-,-,-,-,-,-,-,-
