Места,Осталось неисполненных к 1 января 1852 г.,К 1 января 1853 г. поступило (Требующих производства),К 1 января 1853 г. поступило (Подлежащих к приобщению к делу или к сведению),ИТОГО,Из сего числа исполнено по 1 января 1853 г.,За тем к 1 января 1853 г. осталось неисполненных,Исшедших номеров с 1 января 1852 по 1 января 1853 г.
В Общих окружных управлениях: Енисейском,32,1205,1301,1257,1213,24,1996
В Общих окружных управлениях: Минусинском,6,1442,1222,1448,1435,13,2182
В Градских полициях и у городничих: Красноярской,226,11720,2668,11946,11698,248,16226
В Градских полициях и у городничих: Енисейской,27,8625,1493,8652,8615,37,7064
В Градских полициях и у городничих: Канской,81,5120,542,5201,5103,98,6073
В Градских полициях и у городничих: Минусинской,52,4783,514,4835,4800,35,6514
В Градских полициях и у городничих: Ачинской,96,5060,866,5156,5091,61,5095
Градских думах: Красноярской,1,1745,178,1746,1745,1,2391
Градских думах: Енисейской,0,1312,476,1312,1312,0,1257
Сиротских судах: Красноярском,3,337,153,340,339,1,743
Сиротских судах: Енисейском,0,140,140,140,140,0,225
Словесных судах: Красноярском,6,853,331,859,842,17,1370
Словесных судах: Енисейском,13,858,109,871,862,9,988
В Ачинской городовой ратуше,32,1765,447,1797,1770,27,2395
Окружных судах: Красноярском,15,2280,835,2295,2255,40,2863
Окружных судах: Енисейском,90,2616,455,2706,2633,73,2527
