Принадлежность,Пуды,Фунты,Золотники,Доли
"К-о Княгини Мадатовой, Базилевского и Лопатина",0,57,30,84.0
Коллежского советника Базилевского,2,19,91,0.0
К-о Княгини Трубецкой,3,4,1,10.0
Красноярского 1-й гильдии купца Щеголева,2,38,80,0.0
К-о купцов Трапезниковых,0,15,48,0.0
К-о графа Ламздорфа,0,0,30,40.0
К-о княгини Горчаковой,0,0,51,35.0
Князя Дундукова-Корсакова,0,0,12,89.5
К-о купца Толкачева,0,2,26,70.0
К-о порушки Малевинского,5,10,34,0.0
Почетных граждан братьев Филимоновых,0,0,71,28.0
Наследников коммерции советника Никиты Мясникова,0,0,0,52.0
При открытии вновь прииска в пользу почетного гражданина Нонюкова,0,0,1,26.0
При открытии вновь россыпи в пользу торгового дома Барковых,0,0,1,60.0
От разведки казенных остатков в пользу графа Орлова,0,0,55,13.0
От разведки казенных остатков в пользу князя Волконского,0,0,1,18.0
Итого в Северной части Енисейского округа,457,32,18,44.0
Б. Система Южная: Камер-юнкера Анатолия Демидова и наследников действительного статского советника Демидова,13,6,72,24.0
Коммерции советника Аники Рязанова,2,32,32,18.0
Красноярского купца Щеголева и почетного гражданина Кузнецова,32,28,14,0.0
К-о действительного статского советника Якобсона и купца Коробкова,0,13,55,0.0
Канского купца Гаврила Мошарова и Действительного Статского Советника Лерхе,11,22,59,0.0
"К-о титулярного советника Боровкова, коллежского советника Асташева и действительного статского советника Арсамкова",31,10,58,0.0
