№ ведомости прошедшего года,Время поступления,Содержание дел
13,1849 1 января,О выдаче бланковых билетов на взыскание обывательских податей в течение 1849 г.
14,25,"По предложению г-на, состоящего в должности енисейского гражданского губернатора, истребовать от Красноярского земского суда объяснений по делу о случайно найденном крестьянином обрядовом слитковом золоте и проч."
15,14 марта,По предложению *** истребований объяснений от виновных по делу *** поселенца Николаева
16,6 ию*я,"По представлению от енисейского гражданского губернатора собранных сведений произведены ли не значащийся в приложенной ведомости 22 делу исследования, порученные разным местам и лицам, и куда таковые поступили для рассмотрения причинения"
17,14 ноября,По предложению по *** выдаче жалованья чиновнику Судейному
