Название преступлений,Число преступлений,Примечания
Истребление беременности с лишением жизни младенцев,3,"Открыты преступницы — матери 3 младенцев и преданы суду, истребление учинено для сокрытия беременности с обдуманностью."
По ничетам,10,"Виновных по семи делам обнаружено 7 человек, дела о них решены, а о 3 находятся в производстве."
Рождение мертвых младенцев,1,Виновная открыта и дело отослано на решение судебного места.
Неправильная торговля товарами,2,"По одному делу следствие окончено и отослано на решение судебного места, а о другом производится следствие."
Грубость,4,Виновные известны и дела о них переданы на постановление судебного места.
Неправильная выдача билетов и увольнений,5,"По трем делам обнаружены виновные и дела о них отосланы на решение судебного места, а о двух производится следствие."
Пропуск лиц по ревизии и неправильная записка о них в ревизии,18,"Виновные о десяти людях открыты, следствие же о них отослано на решение судебного места, а о 8 людях следствия еще не окончены."
