Принадлежность,Кроватей,Больных_муж,Больных_жен,Выздоровевших_муж,Выздоровевших_жен,Умерших_муж,Умерших_жен
К-о коллежского советника Голубкова и почетного гражданина Кузнецова,116,714,9,725,9,59,0
Шлиссельбургского купца Тита Зотова,68,351,15,338,14,19,1
К-о поручика Малеванского,60,122,4,117,2,5,2
"К-о купца Соловьева, торгового дома Барковых, наследников Золотарева и братьев Лялиных",60,213,12,197,12,16,0
К-о коллежского советника Асташева,40,78,2,65,2,13,0
К-о полковника Паткуля,40,98,3,91,2,7,1
К-о коллежского советника Горохова (на 3 приисках),37,72,2,67,2,12,0
"К-о коллежского советника Горохова, купцов Рязановых и Мошарова",30,108,0,167,0,7,0
К-о коллежского асессора Базилевского и губернского секретаря Лопатина,20,199,15,193,14,6,1
