Места,Оставалось дел нерешенных к 1 января 1852 г.,Вновь поступило в течение года,Решено в течение года,Осталось к 1 января 1853 г. (За сим местом),Осталось к 1 января 1853 г. (За другими местами),Осталось к 1 января 1853 г. (Итого)
В Общем губернском управлении,1309,3429,3391,39,1308,1347
Губернском правлении,1326,6368,1497,67,1130,1197
Казенной палате,1190,1626,1836,164,816,980
Губернском суде,246,756,806,18,178,196
Приказе общественного призрения,234,279,288,3,222,225
Врачебной управе,40,172,178,3,31,34
У губернского прокурора,32,270,253,0,49,49
У Окружных стряпчих: Красноярского,0,13,12,0,1,1
У Окружных стряпчих: Енисейского,0,45,45,0,0,0
У Окружных стряпчих: Канского,0,32,20,2,10,12
У Окружных стряпчих: Минусинского,5,35,36,0,4,4
У Окружных стряпчих: Ачинского,26,51,61,6,10,16
У губернского и окружных землемеров,244,122,118,90,158,248
У губернского архитектора и строительной комиссии,148,64,59,19,134,153
В Общих окружных управлениях: Енисейском,38,257,269,10,16,26
В Общих окружных управлениях: Минусинском,137,380,388,17,112,129
В Градских полициях и у городничих: Красноярской,131,554,547,3,135,138
В Градских полициях и у городничих: Енисейской,46,401,397,10,40,50
В Градских полициях и у городничих: Канской,17,101,95,0,23,23
В Градских полициях и у городничих: Минусинской,18,111,98,6,25,31
В Градских полициях и у городничих: Ачинской,39,56,64,17,14,31
В Градских думах: Красноярской,41,11,16,5,31,36
В Градских думах: Енисейской,28,132,130,2,28,30
