Принадлежность,Кроватей,Больных_муж,Больных_жен,Выздоровевших_муж,Выздоровевших_жен,Умерших_муж,Умерших_жен
К-о почетных граждан Рязановых на 35 приисках,36,600,0,582,0,18,0
Господ Базилевского и Лопатина на 2 приисках,10,193,10,180,9,13,1
Господ Демидовых на 2 приисках,24,70,2,63,2,7,0
К-о купцов Зотовых на Аннинском,10,43,0,40,0,3,0
Коммерции советника Мясникова на Спасском,40,472,0,458,0,14,0
К-о графа Орлова на 2 приисках,12,271,40,268,40,3,0
Графа Бенкендорфа на Благовещенском,10,102,0,102,0,0,0
К-о княгини Горчаковой на 2 приисках,25,388,0,373,0,15,0
К-о наследников Лосиновых на 2 приисках,8,76,1,72,0,4,1
Почетного гражданина Игнатия Рязанова на Екатерининском,14,202,1,195,1,7,0
Князя Дундукова-Корсакова на Михайловском,17,277,1,271,0,6,1
Почетного гражданина Игнатия Рязанова на Успенском,23,389,3,378,3,17,0
К-о купцов Щеголева и Кузнецова на 2 приисках,22,618,0,606,0,12,0
К-о коллежского советника Асташева на 2 приисках,48,718,6,685,4,33,2
Чиновника Асташева и купца Яковлева,7,52,0,51,0,1,0
К-о Лерхе и арендатора Алымова на 2 приисках,12,173,6,166,6,7,0
К-о купца Верходанова на Ильинском,25,288,2,279,2,9,0
К-о Бенардаки на Митрофановском,17,154,0,143,0,11,0
Генерал-лейтенанта Храпачева на Васильевском,0,22,0,22,0,0,0
