Местоположение,Тип фабрики/завода,Количество,Сумма (руб.),Куда сбыт производится
В г. Канске,Кожевенных,1,2940,"Изделия в небольшом количестве сбываются в Иркутскую губернию, а остальные все скупаются жителями г. Канска и округа оного"
В г. Канске,Свечных,1,1300,"Изделия в небольшом количестве сбываются в Иркутскую губернию, а остальные все скупаются жителями г. Канска и округа оного"
Минусинского округа Тесинской волости близ села Каратуза заводы,Кожевенных,1,6155,На золотые промыслы Минусинского округа
Минусинского округа Тесинской волости близ села Каратуза заводы,Железоделательный,1,0,Действия этого завода прекращены с давнего времени
Итого,Всех фабрик и заводов,35,41980,-
