Принадлежность,Бывших_муж,Бывших_жен,Нанявшихся,Бежавших,Возвращенных,Оставшихся
К-о екатеринбургского купца Александра Красильникова и почетной гражданки Подсосовой,57,0,0,0,0,0
К-о почетных граждан Петра Подсосова сыновей и екатеринбургского Александра Красильникова,30,0,0,0,0,0
К-о почетных граждан братьев Ненюковых и сыновей Петра Подсосова,297,15,0,2,0,29
К-о почетных граждан братьев Рязановых и сыновей Петра Подсосова,621,15,9,38,24,47
Коммерции советника Крылова,132,5,1,2,0,6
Почетных граждан Подсосовых и коллежского регистратора Чеснокова,647,14,49,45,26,90
Почетных граждан сыновей Петра Подсосова,160,35,36,49,10,124
"Почетных граждан Подсосовых, Рязанова, купца Казанцева и проч.",361,16,24,7,6,19
К-о купчихи Харитоновой,3,0,0,0,0,3
Почетного гражданина Петра Кузнецова,5,3,0,0,0,8
Итого в Минусинском округе,3743,135,143,178,76,442
Было по Енисейской губернии,29246,1266,1650,1463,290,5275
