Принадлежность,Пуды,Фунты,Золотники,Доли
Генерал-лейтенанта Храпачева,6,4,42,0.0
Коллежского советника Асташева,5,11,2,0.0
К-о купца Верходанова,17,16,57,56.0
Почетного гражданина Игнатия Рязанова,9,9,71,68.0
К-о поручика Бенардики,0,15,45,36.0
Графини Толстой,0,7,79,69.0
Наследников коммерции советника Никиты Мясникова,48,8,15,25.0
К-о купцов Рязановых,39,19,20,43.5
Поручика Новосильцова,0,0,37,48.0
"К-о купцов Игнатия, Акима и Аники Рязановых",22,29,23,48.0
К-о наследников кяхтинского купца Логинова,3,21,94,0.0
"К-о поручика Бенардики, Акима и Аники Рязановых",7,6,42,83.0
"К-о коммерции советника Попова и наследников Королева, поступивших в арендное содержание губернского секретаря Лопатина",13,24,40,0.0
К-о коллежского советника Асташева и купца Яковлева,4,15,19,52.0
"Наследников маркшейдера Пылкова, переданного в аренду чиновника Овчинникова",0,0,0,60.0
К-о Буникова,0,3,82,92.0
Купца Тита Зотова и К-о,3,5,31,72.0
Княгини Горчаковой и К-о,8,15,53,0.0
К-о князя Дундукова-Корсакова,10,4,23,0.0
"К-о графа Орлова, сенатора Безобразова и статс-секретаря Танеева",8,17,15,5.0
Гаттенфервалтера Олировского,0,0,10,72.0
Наследников графа Бенкендорфа,5,8,31,36.0
К-о действительного статского советника Попова,0,26,37,48.0
Коллежского советника Коновалова,0,20,35,75.0
От разведки открытого вновь промыслов в пользу частной золотопромышленности,0,0,8,95.75
Итого в Южной части Енисейского округа,306,7,80,70.25
