№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
29,5,"1846, 2 ноября",Об истребовании объяснения от Ачинского земского суда о беспорядках его по делу упуске арестантов Павлова и исполняющего
32,6,"1847, 2 января",О выдаче бланковых билетов на взыскание обывательских лошадей
35,7,20,О приведении в должную исправность поданных г-ном енисейским гражданским губернатором беспорядков при ревизии ачинских присутственных мест и проч.
52,8,"1848, 20 января",О выдаче в 1848 г. бланков билетов на взыскание обывательских лошадей
55,9,2 июня,О направлении *** в Сибирский линейный батальон № 12 Енисейским земским судом бессрочноотставного унтер-офицера Карпа Безрукова и учинении выправки на бывшего прежде на отставку его паспорта
57,10,"1848, 1 августа",О выдаче семнадцати паспортов на отставку бессрочноотставных нижних чинов
60,11,9 октября,"О собрании сведений о производстве по приложенной при предложении начальника губернии ведомости в делах исследования, порученных разным местам и лицам ежели, таковые поступали"
62,12,13 ноября,Об отсылке по принадлежности денег по книге приходящих сумм с давнего времени на ***
