Категория,Описание,Рубли,Копейки
Красноярск,Выдано в заимообразность на удовлетворение рабочих золотопромышленных компаний,14325,29.0
Красноярск,Отослано в Енисейский приказ общественного призрения из пенсионного капитала,22,23.5
Красноярск,Выдано в ссуду купеческой жене Александре Шипилиной,3000,0.0
Красноярск,Выдано векселей по случаю уплаты капитальной суммы на,3000,0.0
Енисейск,Никандру Колмакову,93,19.0
Енисейск,Павлину Бородкину,1000,0.0
Енисейск,Егору Воробьеву,1000,0.0
Енисейск,Алексею Баландину,6000,0.0
Енисейск,Ивану Колмакову,3000,0.0
Енисейск,Ивану Барашевцеву,360,0.0
Енисейск,Алексею Сорокину,150,0.0
Енисейск,Ефиму Скорнякову,300,0.0
Енисейск,Якову Панфилову,1000,0.0
Енисейск,Купеческому сыну Александру Ерлыкову,2000,0.0
Енисейск,Купеческому сыну Ивану Стадыркову,1000,0.0
