Принадлежность,Кроватей,Больных_муж,Больных_жен,Выздоровевших_муж,Выздоровевших_жен,Умерших_муж,Умерших_жен
К-о почетного гражданина Толкачева на 4 промыслах (Ачинский округ),5,12,0,12,0,0,0
К-о коммерции советника Кузина и купца Юшкова на Новоивановском (Ачинский округ),6,120,1,101,1,19,0
Итого в Ачинском округе,40,232,1,204,1,28,0
Почетных граждан Подсосовых на 2 приисках: Николаевском и Матвеевском,16,102,1,98,0,4,1
К-о почетных граждан Ненюковых и сыновей Петра Подсосова на 3 приисках,18,102,2,100,2,2,0
К-о почетных граждан братьев Рязановых и Петра Подсосова сыновей на 2 приисках,28,88,0,83,0,5,0
Коммерции советника Крылова на Богородице-Рождественском,6,28,0,27,0,1,0
Почетных граждан Подсосова и коллежского регистратора Чеснокова на 2 приисках,30,183,8,180,8,3,0
К-о почетных граждан сыновей Петра Подсосова на 3 приисках,73,424,2,415,2,9,0
"К-о почетных граждан Подсосовых, Рязанова, купца Казанцова и проч. на 2 приисках",12,27,0,24,0,3,0
Итого в Минусинском округе,185,954,13,927,18,27,1
А всего на приисках по Енисейской губернии,1328,10146,202,9690,185,456,17
