Название преступлений,Число преступлений,Примечания
Святотатство,1,Виновный открыт и дело отослано на решение судебного места.
Самоубийств,24,В этом числе лишили себя жизни в припадке помешательства ума 1 и по неизвестным причинам 23.
Намерений на самоубийство,1,Следствия о виновных произведены и отосланы на решение судебного места.
Убийств,12,"В том числе умышленных 8, по одному убийству виновных не открыто, по прочим делам убийц открыто и предано суду 4 человека."
Подкидышей найдено,2,Виновных не открыто.
Покушений на жизнь другого,2,"Виновные открыты и произведенные о них следствия, отосланы на решение судебного места."
Зажигательств,3,"По одному из этих деле виновные открыты и преданы суду, а по прочим делам виновных не открыто."
Намерений к поджогам,2,"По этим случаям произведены надлежащие следствия, которые и отосланы на решение судебного места."
"Нанесение ран, увечий, личных обид и оскорблений",44,"Из числа возникших о сем дел производством закончены и представлены на решение судебных мест 31, а по остальным производятся надлежащие исследования."
Отступление от православия,1,Виновные в этом 4 человека преданы суду.
Растление невинности,6,Виновные открыты и преданы суду.
