Категория здания,Количество
Казенные каменные дома,9
Казенные деревянные дома,35
Частные каменные дома,33
Частные деревянные дома,925
Торговые каменные лавки,23
Торговые деревянные лавки,131
Церкви православные каменные,3
Католический молитвенный дом деревянный,1
Еврейская молельня деревянная,1
Духовное правление каменное,1
Корпуса военного ведомства деревянные,12
Богадельни каменные,2
Больница каменная,1
Больница деревянная,1
Кладовая казначейства каменная,1
Детский приют деревянный,1
Ремесленный дом деревянный,1
Будка деревянная,1
Тюремный острог деревянный,1
Гостиница деревянная,1
Питейные дома деревянные,10
Заводы деревянные,22
Мельницы деревянные,6
Кузницы деревянные,10
Пороховой погреб каменный,1
Магазины каменные,2
Магазины деревянные,4
Соляная лавочка деревянная,1
