Места,Осталось неисполненных к 1 января 1852 г.,К 1 января 1853 г. поступило (Требующих производства),К 1 января 1853 г. поступило (Подлежащих к приобщению к делу или к сведению),ИТОГО,Из сего числа исполнено по 1 января 1853 г.,За тем к 1 января 1853 г. осталось неисполненных,Исшедших номеров с 1 января 1852 по 1 января 1853 г.
В Общем губернском управлении,53,15489,4093,15342,15501,14,21253
Губернском правлении,1275,21538,7591,22813,21873,940,41943
Казенной палате,650,13687,6701,14337,13662,675,12872
Губернском суде,56,4286,1019,4342,4264,78,5619
Приказе общественного призрения,12,2435,707,2447,2436,11,3245
Врачебной управе,10,1404,413,1414,1386,28,1334
У губернского прокурора,27,2061,1513,2088,2081,7,2088
У Окружных стряпчих: Красноярского,14,1786,193,1800,1777,23,1983
У Окружных стряпчих: Енисейского,0,1513,250,1513,1513,0,1841
У Окружных стряпчих: Канского,0,2287,935,2287,2287,0,3182
У Окружных стряпчих: Минусинского,10,236,1021,246,229,17,1267
У Окружных стряпчих: Ачинского,2,454,1224,456,449,7,3062
Губернского и окружного землемеров,57,544,599,601,525,76,1282
Губернского архитектора и строительной комиссии,5,893,752,898,895,3,1424
