Принадлежность,Кроватей,Больных_муж,Больных_жен,Выздоровевших_муж,Выздоровевших_жен,Умерших_муж,Умерших_жен
Наследников коммерции советника Кузина на Надеждинском,20,82,12,79,2,3,0
Красноярского 1-й гильдии купца Белова на 2 приисках: Спасском и Савельевском,20,123,6,121,6,2,0
К-о купцов Толкачева и Алымова на 2 приисках: Екатерининском и Татьяновском,15,70,2,63,2,7,0
Коллежского советника Коновалова на 2 приисках: Мариинском и Николаевском,13,33,0,33,0,0,0
Почетного гражданина Пилонкова на Николаевском,10,72,0,66,0,6,0
К-о княгини Мадатовой на Софийском,10,43,1,39,1,4,0
Генерал-майора Пашкова на 2 приисках: Юльевском и Гавриловском,9,51,2,49,2,2,0
Коллежского советника Голубкова на Новомариинском,10,58,3,54,2,4,1
К-о купцов Рязанова и Машарова на Прокопьевском,8,11,0,10,0,1,0
"К-о княгини Мадатовой, Базилевского и Лопатина на Петропавловском",8,33,3,32,3,1,0
Коллежского советника Базилевского на Крестовоздвиженском,6,27,0,27,0,0,0
К-о княгини Трубецкой на Александровском,5,26,0,23,0,3,0
Красноярского 1-й гильдии купца Щеголева на Сидоровском,5,25,1,25,0,0,1
К-о чиновника Пермикина на Григорьевском,5,7,0,7,0,0,0
"К-о купцов Красильникова, Ерлыкова и наследницы Бобковой на Даниловском",5,22,2,20,1,2,1
К-о княгини Горчаковой и князя Дундукова-Корсакова на Итальянском и Мариинском,5,13,0,10,0,3,0
В резиденциях и заведениях золотопромышленников состоящих,0,145,13,120,12,25,1
Итого в Северной части Енисейского округа,676,2873,97,2666,88,207,9
