Принадлежность,Бывших_муж,Бывших_жен,Нанявшихся,Бежавших,Возвращенных,Оставшихся
К-о купцов Зотовых,237,12,6,39,6,4
Покойного коммерции советника Мясникова,898,67,30,4,0,169
К-о графа Орлова,464,0,29,10,1,106
К-о наследников графа Бенкендорфа,150,6,3,11,2,65
К-о княгини Горчаковой,414,32,0,65,4,10
К-о наследников Лосиновых,251,15,25,31,0,31
К-о почетного гражданина Игнатия Рязанова,315,15,0,16,6,52
Князя Дундукова-Корсакова,358,15,0,37,3,0
К-о почетного гражданина Игнатия Рязанова (вторая запись),686,47,65,19,4,299
К-о купцов Щеголева и Кузнецова,978,30,58,112,5,77
К-о господ Асташева и Боровкова,994,37,8,57,10,727
Коллежского советника Асташева и купца Яковлева,153,0,5,2,0,76
К-о Лерхе и арендатора Алымова,597,44,54,66,12,50
К-о купца Верходанова,570,35,18,5,3,64
К-о поручика Бенардики,411,24,30,70,12,48
К-о генерал-лейтенанта Храпачева,63,0,1,0,0,0
К-о статского советника Якобсона и купца Коробкова,64,9,1,0,0,27
К-о купца Гроттена,77,4,2,6,0,3
К-о графини Толстой-Леровской,90,8,8,10,1,6
Коллежского советника Коновалова,42,3,1,1,0,1
В разведочной партии от купца Токарева,19,0,0,0,0,18
В разведочной партии от княгини Трубецкой,69,0,5,3,0,37
Итого в Южной части Енисейского округа,10458,336,429,758,115,2308
