Принадлежность,Пуды,Фунты,Золотники,Доли
В Минусинском округе: Наследников почетного гражданина Петра Подсосова,27,27,92,12.0
"Почетных граждан братьев Ненюковых, сыновей Петра Подсосова и компании",6,18,9,24.0
К-о наследников губернского секретаря Чеглова и почетных граждан Петра Подсосова сыновей,7,36,27,74.0
К-о почетных граждан Петра Подсосова сыновей и почетной гражданки Александры Подсосовой,5,18,84,12.0
"К-о почетных граждан Рязановых, Петра Подсосова сыновей, купцов Казанцева и Харитонова",5,7,81,72.0
"Комышловского купца Михаила Крюкова, переданных им в арендное содержание почетных граждан Рязановых и Петра Подсосова сыновей",15,7,38,84.0
К-о купца Александра Красильникова и почетной гражданки Анны Подсосовой,0,5,30,48.0
К-о екатеринбургского купца Александра Красильникова и почетных граждан Петра Подсосова сыновей,0,3,0,68.0
К-о екатеринбургского купца Коробкова и почетного гражданина Петра Подсосова сыновей,0,0,2,75.0
Коммерции советника Крылова,0,23,14,10.0
К-о почетных граждан Петра Ненюкова и Петра Подсосова сыновей,0,0,22,10.0
Итого в Минусинском округе,68,28,21,9.0
Было в Енисейской губернии на частных золотых приисках добыто золота,858,12,85,15.5
