Принадлежность,Пуды,Фунты,Золотники,Доли
"В Канском округе: К-о почетных граждан Рязановых, купцов Казанцевых, Баландина и коллежского советника Асташева",10,36,0,10.0
Комышловского купца Чабисева,1,34,55,84.75
"Коллежского советника Асташева, купцов Толкачева и Коробкова",6,0,70,30.0
Коллежского советника Асташева,0,0,61,11.0
Коллежского асессора Виктора Базилевского,3,15,54,48.0
"Таганрогского 1-й гильдии купца, почетного гражданина Ковалевского",4,38,8,48.0
К-о гаттенфервалтера Оларовского,4,27,24,48.0
Надворной советницы Пономаревой,1,39,12,48.0
Го Демидовых,0,1,15,0.0
Итого в Канском округе,33,33,14,39.75
В Ачинском округе: К-о верхотурских купцов Степана Юшкова и Павла Копырина и наследников коммерции советника Кузина,3,20,25,48.0
К-о томского купца Захара Цибульского и красноярской купчихи Шипилиной,5,31,17,16.0
"К-о почетного гражданина Собулина, почетной гражданки Поросенковой и верхнетурской купчихи Копыриной",0,36,67,44.0
"К-о екатеринбургских купцов Рязановых, Баландиных, Казанцева и наследников купца Егорова",0,1,16,66.0
К-о почетного гражданина Архипа Толкачева,0,1,49,48.0
К-о томского купца Мефодия Серебренникова и иркутской купчихи Дарьи Серебренниковой,1,9,33,0.0
Томского купца Мефодия Серебренникова,0,1,45,72.0
Почетного гражданина Алексея Канина,0,4,19,58.0
Итого по Ачинскому округу,11,30,82,44.0
