Принадлежность,Бывших_муж,Бывших_жен,Нанявшихся,Бежавших,Возвращенных,Оставшихся
К-о коллежского советника Голубкова и почетного гражданина Кузнецова,2680,54,183,47,14,245
Шлиссельбургского купца Тита Зотова,1333,49,201,36,6,170
К-о поручика Малеванского,601,27,32,1,0,101
"К-о купца Соловьева, торгового дома Барковых, наследников Золотарева и братьев Лялиных",1022,29,70,57,8,68
К-о коллежского советника Асташева,706,27,70,57,8,68
К-о полковника Паткуля,333,19,59,28,6,219
К-о коллежского советника Горохова,415,16,32,12,1,98
"К-о его же Горохова, купцов Рязановых и Мошарова",666,25,36,11,2,208
К-о коллежского асессора Базилевского и губернского секретаря Лопатина,696,36,46,27,4,155
Наследников коммерции советника Кузина,283,13,16,27,4,59
