Принадлежность,Бывших_муж,Бывших_жен,Нанявшихся,Бежавших,Возвращенных,Оставшихся
В Канском округе: К-о купцов Рязановых,427,26,6,18,3,97
К-о коллежского советника Асташева,235,19,6,0,0,35
К-о господ Оларовского и Бабушкина,279,20,4,14,1,14
Купца Ковалевского,238,10,4,0,0,40
Купца Бабичева,122,18,5,3,0,59
Коллежского асессора Базелевского,133,8,5,4,4,12
Надворной советницы Пономаревой,260,5,9,9,5,8
Итого в Канском округе,1634,118,39,48,13,215
В Ачинском округе: К-о купцов Цибульского и Шипилина,464,2,24,34,6,25
Потомственного почетного гражданина Канина,44,2,2,7,5,10
К-о купцов томского Мефодия и иркутской Дарьи Серебренниковой,120,9,15,1,0,9
К-о почетной гражданки Поросенковой,74,1,27,3,1,10
Потомственного почетного гражданина Толкачева,58,3,2,2,0,5
К-о наследников коммерции советника Кузина и купца Юшкова,307,14,42,35,5,2
Итого в Ачинском округе,1067,31,112,82,19,61
В Минусинском округе: К-о почетных граждан Подсосовых,750,32,24,37,10,116
