Роды ПРЕСТУПЛЕНИЙ;Число преступлений;Число осужденных (м.);Число осужденных (ж.);В ТОМ ЧИСЛЕ: Дворян потомственных (м.);В ТОМ ЧИСЛЕ: Дворян потомственных (ж.);В ТОМ ЧИСЛЕ: Дворян личных (м.);В ТОМ ЧИСЛЕ: Дворян личных (ж.);В ТОМ ЧИСЛЕ: Почетных граждан и купцов (м.);В ТОМ ЧИСЛЕ: Почетных граждан и купцов (ж.);В ТОМ ЧИСЛЕ: Духовного звания (м.);В ТОМ ЧИСЛЕ: Духовного звания (ж.);В ТОМ ЧИСЛЕ: Мещан (м.);В ТОМ ЧИСЛЕ: Мещан (ж.);В ТОМ ЧИСЛЕ: Крестьян и причисленных в крестьяне ссыльных (м.);В ТОМ ЧИСЛЕ: Крестьян и причисленных в крестьяне ссыльных (ж.)
Составление подложных на жительство видов и проживательство с видом подложным;19;23;—;—;—;—;—;1;—;2;—;3;—;12;—
Преступления против общественной нравственности;3;3;—;—;—;—;—;—;—;—;—;—;—;2;—
Нарушение против устава строительного;2;1;—;—;—;—;—;—;—;—;—;1;—;—;—
Нарушение уставов почтовых и телеграфных;1;1;—;—;—;—;—;—;—;—;—;—;—;1;—
Смертоубийство;156;415;31;—;—;2;1;2;—;1;—;15;2;212;18
Нанесение увечья, ран и других повреждений;56;124;5;—;—;—;—;—;—;—;—;4;—;96;4
Преступления против чести и целомудрия женщин;25;40;—;—;—;2;—;—;—;—;—;2;—;23;—
Личные оскорбления;34;40;3;—;—;1;—;1;—;—;—;14;—;20;3
Преступления против союза брачного;1;1;—;—;—;—;—;—;—;—;—;—;—;—;—
Преступления детей против родителей;45;45;4;—;—;1;—;—;—;—;—;15;1;26;3
Зажигательство;43;52;12;—;—;1;—;—;—;—;—;1;2;23;8
Разбой;2;20;1;—;—;—;—;—;—;—;—;2;1;15;—
Грабеж;62;202;9;—;—;—;—;—;—;—;—;34;—;111;8
Воровство-кража;193;376;41;—;—;1;—;—;—;—;—;55;10;208;27
Воровство-мошенничество;8;4;2;—;—;—;—;—;—;—;—;1;1;3;1
Присвоение и растрата вверенного чужого движимого имущества;6;4;2;—;—;—;—;—;—;—;—;3;2;—;—
Преступления и проступки по договорам и другим обязательствам;16;25;4;—;—;—;—;5;2;—;—;5;1;9;1
Происшествия;18;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
Итого;847;1675;122;—;—;13;1;14;2;8;—;168;23;943;76
