НАИМЕНОВАНИЕ МЕСТНОСТЕЙ;Ссыльно-поселенцев муж.;Ссыльно-поселенцев жен.;Водворяемых рабочих муж.;Водворяемых рабочих жен.;Сосланных на житье муж.;Сосланных на житье жен.;Административно-сосланных муж.;Административно-сосланных жен.
В г. Красноярске;—;—;—;—;2;—;—;—
— Ачинске;—;—;—;—;3;—;16;—
— Минусинске;—;—;—;—;9;—;—;—
— Енисейске;—;—;—;—;11;1;—;—
— Канске;—;—;—;—;—;—;7;1
По волостям:;;;;;;;;
а) Красноярского округа:;;;;;;;;
Заледеевской;90;12;10;—;3;—;2;—
Погорельской;7;3;1;1;—;—;1;—
Еловской;160;15;—;—;—;—;40;12
Нахвальской;49;2;51;—;2;—;5;—
Сухобузимской;84;4;16;—;—;—;1;—
Частоостровской;92;—;—;—;11;—;2;1
Вознесенской;21;—;—;—;—;—;—;1
б) Канского округа:;;;;;;;;
Рыбинской;19;—;7;—;4;—;—;1
Ирбейской;35;1;9;—;3;—;—;—
Уринской;47;—;—;—;—;—;—;—
Тинской;21;—;—;—;1;—;1;—
Анцырской;24;—;—;—;—;—;—;—
Устьянской;29;—;—;—;—;—;3;1
Тасеевской;67;2;5;—;11;—;10;—
