Название заводов;Перекурено вина из муки, пуд.;Получено: % без водного спирта;Получено: Ведер в полугаре (40 %);Среднее число пудов, употребленных в суточный затор;Среднее число получения вина в полугаре из суточного затора;Сколько суток в период действовал завод
Александровский;90 528;3 958 370;98 959,25;552;603,41;164
Владимирский;19 012;792 280;19 807;194;202,11;98
Енисейского округа:;;;;;;
Каменский;39 406;1 630 490;40 762,25;323;334,11;122
Василье-Исаевский;38 220;1 585 000;39 625;195;202,15;196
Итого;439 570;17 971 961,47;449 299,02;—;—;—
