НАИМЕНОВАНИЕ СБОРОВ;Следовало поступить: Недоимки р.;Следовало поступить: Недоимки к.;Следовало поступить: Оклада 1 р.;Следовало поступить: Оклада 1 к.;Следовало поступить: Оклада 2 р.;Следовало поступить: Оклада 2 к.;Вновь причислено: Недоимки р.;Вновь причислено: Недоимки к.;Вновь причислено: Оклада 1 р.;Вновь причислено: Оклада 1 к.;Вновь причислено: Оклада 2 р.;Вновь причислено: Оклада 2 к.
III. Налога с недвижимых имуществ в городах, посадах и местечках;9012;67 1/2;—;—;—;—;—;—;—;—;15800;—
IV. Сбора на межевание земель:;;;;;;;;;;;;
1. С государственных крестьян;3045;51 1/4;1316;23 1/2;1386;23 1/2;4;98;8;45;9;78
2. Скупцов и мещан, живущих в казенных селениях;2;14 1/4;—;24;—;24;—;—;—;—;—;—
3. С оседлых инородцев;24;58;24;13 1/2;24;13 1/2;—;—;—;1 1/2;—;1 1/2
4. С кочевых инородцев;45;6;100;63 1/2;100;63 1/2;—;—;—;—;—;—
Итого;3117;50;150;24 1/2;1511;24 1/2;4;98;8;46 1/2;9;79 1/2
V. Сбор на пожарные случаи:;;;;;;;;;;;;
1. С крестьян;4023;44 1/4;1858;24;1858;24;7;44;11;20;12;94
2. С купцов и мещан, живущих в селениях;2;75;—;32;—;32;—;—;—;—;—;—
3. С оседлых инородцев;80;28;32;16;32;16;—;—;—;—;—;—
4. С переселенцев;151;77;—;—;—;—;—;—;—;—;—;—
42;14 1/2;1890;72;1890;72;7;44;11;20;12;94
На народное продовольствие;674;15 3/4;—;—;—;—;—;—;—;—;—;—
VI. Экономического сбора:;;;;;;;;;;;;
С поселенцев полного и половинного оклада;8295;56 1/4;1563;40;1563;40;184;—;92;12 1/2;124;72 1/2
VII. На губернские повинности:;;;;;;;;;;;;
1. С мещан;28096;34;4193;43;4193;43;193;34;71;36;96;57
2. С государственных крестьян;73516;64 1/2;36898;88;36898;87;232;12;357;7;442;47
3. С ссыльнопоселенцев полного оклада;35424;1/4;2962;55;2962;55;505;34;186;37;271;89
4. С купцов и мещан, живущих в казенных селениях;381;75;5;59;5;58;—;—;—;—;—;—
5. С оседлых инородцев;1165;11;656;37;656;36;—;—;—;—;—;—
6. С кочевых инородцев;1400;92;2088;70;2088;69;—;—;—;—;—;—
Итого губернской повинности;139984;76 1/4;46825;52;46825;48;876;80;614;80;810;93
